job_id,job_title,company,location,skills,experience,description
91,Senior Software Engineer,Google,"Austin, TX",Python;Java;Cloud;Microservices,5,Lead the development of scalable cloud infrastructure and microservices architecture.
92,QA Engineer,Adobe,"Redmond, WA",Selenium;JUnit;TestNG;Postman,3,Test and ensure the quality of software applications.
93,Cloud Architect,Facebook,"Cupertino, CA",Azure;GCP;Networking;Security,1,Design cloud solutions and guide teams in cloud migration.
94,Cloud Architect,Apple,"Mountain View, CA",Azure;GCP;Networking;Security,2,Design cloud solutions and guide teams in cloud migration.
95,QA Engineer,Microsoft,"San Francisco, CA",Selenium;JUnit;TestNG;Postman,6,Test and ensure the quality of software applications.
96,Data Scientist,IBM,"Chicago, IL",Python;R;Machine Learning;SQL,6,Develop and implement machine learning models for product recommendations.
97,Senior Software Engineer,Salesforce,"Seattle, WA",Python;Java;Cloud;Microservices,8,Lead the development of scalable cloud infrastructure and microservices architecture.
98,Backend Developer,Intel,"Chicago, IL",Node.js;Express;MongoDB;Docker,5,Design and maintain backend APIs and services.
99,DevOps Engineer,IBM,"Cupertino, CA",Kubernetes;Terraform;AWS;CI/CD,7,Automate infrastructure and deployment pipelines.
100,Machine Learning Engineer,Apple,"Boston, MA",TensorFlow;PyTorch;Data Analysis;Deep Learning,5,Apply deep learning to real-world data problems.
101,Mobile App Developer,Apple,"Redmond, WA",Swift;Kotlin;Flutter;Firebase,3,Develop and deploy mobile applications across platforms.
102,Data Scientist,Adobe,"Austin, TX",Python;R;Machine Learning;SQL,8,Develop and implement machine learning models for product recommendations.
103,QA Engineer,Amazon,"San Francisco, CA",Selenium;JUnit;TestNG;Postman,9,Test and ensure the quality of software applications.
104,QA Engineer,Amazon,"San Francisco, CA",Selenium;JUnit;TestNG;Postman,8,Test and ensure the quality of software applications.
105,Data Scientist,Microsoft,"Menlo Park, CA",Python;R;Machine Learning;SQL,3,Develop and implement machine learning models for product recommendations.
106,Full Stack Developer,Facebook,"Boston, MA",HTML;CSS;JavaScript;Angular,1,Build dynamic and responsive full-stack web applications.
107,Frontend Developer,Intel,"Boston, MA",React;JavaScript;TypeScript;CSS,2,Build and maintain user interfaces for web applications.
108,QA Engineer,Amazon,"Cupertino, CA",Selenium;JUnit;TestNG;Postman,5,Test and ensure the quality of software applications.
109,QA Engineer,Intel,"Seattle, WA",Selenium;JUnit;TestNG;Postman,6,Test and ensure the quality of software applications.
110,Machine Learning Engineer,Microsoft,"Boston, MA",TensorFlow;PyTorch;Data Analysis;Deep Learning,2,Apply deep learning to real-world data problems.
111,Full Stack Developer,Apple,"New York, NY",HTML;CSS;JavaScript;Angular,2,Build dynamic and responsive full-stack web applications.
112,DevOps Engineer,Google,"Boston, MA",Kubernetes;Terraform;AWS;CI/CD,3,Automate infrastructure and deployment pipelines.
113,Cloud Architect,IBM,"New York, NY",Azure;GCP;Networking;Security,9,Design cloud solutions and guide teams in cloud migration.
114,Mobile App Developer,Amazon,"Boston, MA",Swift;Kotlin;Flutter;Firebase,10,Develop and deploy mobile applications across platforms.
115,Backend Developer,Microsoft,"Boston, MA",Node.js;Express;MongoDB;Docker,3,Design and maintain backend APIs and services.
116,Mobile App Developer,Facebook,"Boston, MA",Swift;Kotlin;Flutter;Firebase,5,Develop and deploy mobile applications across platforms.
117,Full Stack Developer,Google,"Austin, TX",HTML;CSS;JavaScript;Angular,4,Build dynamic and responsive full-stack web applications.
118,Mobile App Developer,Apple,"Menlo Park, CA",Swift;Kotlin;Flutter;Firebase,2,Develop and deploy mobile applications across platforms.
119,Frontend Developer,Intel,"Chicago, IL",React;JavaScript;TypeScript;CSS,5,Build and maintain user interfaces for web applications.
120,Frontend Developer,Netflix,"Boston, MA",React;JavaScript;TypeScript;CSS,5,Build and maintain user interfaces for web applications.
121,Mobile App Developer,Netflix,"Seattle, WA",Swift;Kotlin;Flutter;Firebase,10,Develop and deploy mobile applications across platforms.
122,DevOps Engineer,Google,"Redmond, WA",Kubernetes;Terraform;AWS;CI/CD,7,Automate infrastructure and deployment pipelines.
123,Frontend Developer,Microsoft,"Chicago, IL",React;JavaScript;TypeScript;CSS,5,Build and maintain user interfaces for web applications.
124,Frontend Developer,Apple,"New York, NY",React;JavaScript;TypeScript;CSS,4,Build and maintain user interfaces for web applications.
125,QA Engineer,Netflix,"Chicago, IL",Selenium;JUnit;TestNG;Postman,8,Test and ensure the quality of software applications.
126,DevOps Engineer,Amazon,"San Francisco, CA",Kubernetes;Terraform;AWS;CI/CD,8,Automate infrastructure and deployment pipelines.
127,Full Stack Developer,Netflix,"Austin, TX",HTML;CSS;JavaScript;Angular,5,Build dynamic and responsive full-stack web applications.
128,Cloud Architect,Adobe,"Menlo Park, CA",Azure;GCP;Networking;Security,8,Design cloud solutions and guide teams in cloud migration.
129,Backend Developer,Facebook,"Chicago, IL",Node.js;Express;MongoDB;Docker,5,Design and maintain backend APIs and services.
130,Full Stack Developer,IBM,"New York, NY",HTML;CSS;JavaScript;Angular,4,Build dynamic and responsive full-stack web applications.
131,Frontend Developer,Google,"Chicago, IL",React;JavaScript;TypeScript;CSS,2,Build and maintain user interfaces for web applications.
132,QA Engineer,Adobe,"Seattle, WA",Selenium;JUnit;TestNG;Postman,4,Test and ensure the quality of software applications.
133,Senior Software Engineer,Adobe,"Cupertino, CA",Python;Java;Cloud;Microservices,8,Lead the development of scalable cloud infrastructure and microservices architecture.
134,Data Scientist,Microsoft,"Chicago, IL",Python;R;Machine Learning;SQL,10,Develop and implement machine learning models for product recommendations.
135,Cloud Architect,Microsoft,"San Francisco, CA",Azure;GCP;Networking;Security,2,Design cloud solutions and guide teams in cloud migration.
136,QA Engineer,Facebook,"Cupertino, CA",Selenium;JUnit;TestNG;Postman,7,Test and ensure the quality of software applications.
137,Backend Developer,Amazon,"Boston, MA",Node.js;Express;MongoDB;Docker,10,Design and maintain backend APIs and services.
138,Machine Learning Engineer,Intel,"Redmond, WA",TensorFlow;PyTorch;Data Analysis;Deep Learning,2,Apply deep learning to real-world data problems.
139,QA Engineer,Salesforce,"Cupertino, CA",Selenium;JUnit;TestNG;Postman,8,Test and ensure the quality of software applications.
140,Cloud Architect,Apple,"Chicago, IL",Azure;GCP;Networking;Security,8,Design cloud solutions and guide teams in cloud migration.
141,Mobile App Developer,Microsoft,"San Francisco, CA",Swift;Kotlin;Flutter;Firebase,6,Develop and deploy mobile applications across platforms.
142,Machine Learning Engineer,Google,"Austin, TX",TensorFlow;PyTorch;Data Analysis;Deep Learning,3,Apply deep learning to real-world data problems.
143,Frontend Developer,Netflix,"Austin, TX",React;JavaScript;TypeScript;CSS,3,Build and maintain user interfaces for web applications.
144,Backend Developer,Salesforce,"New York, NY",Node.js;Express;MongoDB;Docker,1,Design and maintain backend APIs and services.
145,Cloud Architect,Intel,"Redmond, WA",Azure;GCP;Networking;Security,5,Design cloud solutions and guide teams in cloud migration.
146,Full Stack Developer,Amazon,"New York, NY",HTML;CSS;JavaScript;Angular,6,Build dynamic and responsive full-stack web applications.
147,Senior Software Engineer,Microsoft,"Redmond, WA",Python;Java;Cloud;Microservices,5,Lead the development of scalable cloud infrastructure and microservices architecture.
148,Backend Developer,Intel,"New York, NY",Node.js;Express;MongoDB;Docker,9,Design and maintain backend APIs and services.
149,Backend Developer,Netflix,"Boston, MA",Node.js;Express;MongoDB;Docker,3,Design and maintain backend APIs and services.
150,Cloud Architect,Netflix,"Cupertino, CA",Azure;GCP;Networking;Security,2,Design cloud solutions and guide teams in cloud migration.
151,Data Scientist,Adobe,"New York, NY",Python;R;Machine Learning;SQL,5,Develop and implement machine learning models for product recommendations.
152,Frontend Developer,Salesforce,"Chicago, IL",React;JavaScript;TypeScript;CSS,6,Build and maintain user interfaces for web applications.
153,Mobile App Developer,Salesforce,"Menlo Park, CA",Swift;Kotlin;Flutter;Firebase,2,Develop and deploy mobile applications across platforms.
154,Data Scientist,Microsoft,"Redmond, WA",Python;R;Machine Learning;SQL,8,Develop and implement machine learning models for product recommendations.
155,QA Engineer,Salesforce,"Menlo Park, CA",Selenium;JUnit;TestNG;Postman,9,Test and ensure the quality of software applications.
156,Cloud Architect,Google,"Menlo Park, CA",Azure;GCP;Networking;Security,7,Design cloud solutions and guide teams in cloud migration.
157,Mobile App Developer,Apple,"Boston, MA",Swift;Kotlin;Flutter;Firebase,7,Develop and deploy mobile applications across platforms.
158,Mobile App Developer,Netflix,"Redmond, WA",Swift;Kotlin;Flutter;Firebase,5,Develop and deploy mobile applications across platforms.
159,DevOps Engineer,Intel,"Austin, TX",Kubernetes;Terraform;AWS;CI/CD,9,Automate infrastructure and deployment pipelines.
160,Cloud Architect,Amazon,"Redmond, WA",Azure;GCP;Networking;Security,6,Design cloud solutions and guide teams in cloud migration.
161,DevOps Engineer,Netflix,"Menlo Park, CA",Kubernetes;Terraform;AWS;CI/CD,2,Automate infrastructure and deployment pipelines.
162,Mobile App Developer,Amazon,"Chicago, IL",Swift;Kotlin;Flutter;Firebase,7,Develop and deploy mobile applications across platforms.
163,Data Scientist,Apple,"Menlo Park, CA",Python;R;Machine Learning;SQL,8,Develop and implement machine learning models for product recommendations.
164,Cloud Architect,Apple,"New York, NY",Azure;GCP;Networking;Security,3,Design cloud solutions and guide teams in cloud migration.
165,Backend Developer,Netflix,"Mountain View, CA",Node.js;Express;MongoDB;Docker,8,Design and maintain backend APIs and services.
166,Mobile App Developer,Netflix,"Cupertino, CA",Swift;Kotlin;Flutter;Firebase,10,Develop and deploy mobile applications across platforms.
167,QA Engineer,Adobe,"Austin, TX",Selenium;JUnit;TestNG;Postman,8,Test and ensure the quality of software applications.
168,Backend Developer,Netflix,"Redmond, WA",Node.js;Express;MongoDB;Docker,3,Design and maintain backend APIs and services.
169,Senior Software Engineer,IBM,"New York, NY",Python;Java;Cloud;Microservices,7,Lead the development of scalable cloud infrastructure and microservices architecture.
170,Mobile App Developer,Amazon,"Seattle, WA",Swift;Kotlin;Flutter;Firebase,4,Develop and deploy mobile applications across platforms.
171,Full Stack Developer,Adobe,"San Francisco, CA",HTML;CSS;JavaScript;Angular,10,Build dynamic and responsive full-stack web applications.
172,Mobile App Developer,Adobe,"Seattle, WA",Swift;Kotlin;Flutter;Firebase,2,Develop and deploy mobile applications across platforms.
173,Senior Software Engineer,Google,"Seattle, WA",Python;Java;Cloud;Microservices,10,Lead the development of scalable cloud infrastructure and microservices architecture.
174,Mobile App Developer,Netflix,"New York, NY",Swift;Kotlin;Flutter;Firebase,5,Develop and deploy mobile applications across platforms.
175,QA Engineer,Amazon,"Menlo Park, CA",Selenium;JUnit;TestNG;Postman,4,Test and ensure the quality of software applications.
176,Backend Developer,Netflix,"Chicago, IL",Node.js;Express;MongoDB;Docker,9,Design and maintain backend APIs and services.
177,Full Stack Developer,Apple,"Chicago, IL",HTML;CSS;JavaScript;Angular,8,Build dynamic and responsive full-stack web applications.
178,Cloud Architect,Netflix,"New York, NY",Azure;GCP;Networking;Security,3,Design cloud solutions and guide teams in cloud migration.
179,Mobile App Developer,Google,"Redmond, WA",Swift;Kotlin;Flutter;Firebase,9,Develop and deploy mobile applications across platforms.
180,Senior Software Engineer,Amazon,"Menlo Park, CA",Python;Java;Cloud;Microservices,7,Lead the development of scalable cloud infrastructure and microservices architecture.
181,Cloud Architect,Adobe,"Redmond, WA",Azure;GCP;Networking;Security,5,Design cloud solutions and guide teams in cloud migration.
182,DevOps Engineer,Apple,"New York, NY",Kubernetes;Terraform;AWS;CI/CD,9,Automate infrastructure and deployment pipelines.
183,Full Stack Developer,Facebook,"Chicago, IL",HTML;CSS;JavaScript;Angular,8,Build dynamic and responsive full-stack web applications.
184,Mobile App Developer,Amazon,"San Francisco, CA",Swift;Kotlin;Flutter;Firebase,9,Develop and deploy mobile applications across platforms.
185,DevOps Engineer,Adobe,"Menlo Park, CA",Kubernetes;Terraform;AWS;CI/CD,3,Automate infrastructure and deployment pipelines.
186,DevOps Engineer,Microsoft,"Redmond, WA",Kubernetes;Terraform;AWS;CI/CD,10,Automate infrastructure and deployment pipelines.
187,Frontend Developer,Adobe,"Austin, TX",React;JavaScript;TypeScript;CSS,1,Build and maintain user interfaces for web applications.
188,Full Stack Developer,Salesforce,"San Francisco, CA",HTML;CSS;JavaScript;Angular,8,Build dynamic and responsive full-stack web applications.
189,QA Engineer,Salesforce,"Chicago, IL",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
190,Frontend Developer,Amazon,"Menlo Park, CA",React;JavaScript;TypeScript;CSS,10,Build and maintain user interfaces for web applications.
191,Data Scientist,IBM,"Menlo Park, CA",Python;R;Machine Learning;SQL,9,Develop and implement machine learning models for product recommendations.
192,Full Stack Developer,Netflix,"Seattle, WA",HTML;CSS;JavaScript;Angular,7,Build dynamic and responsive full-stack web applications.
193,Backend Developer,Salesforce,"Cupertino, CA",Node.js;Express;MongoDB;Docker,4,Design and maintain backend APIs and services.
194,Data Scientist,Intel,"New York, NY",Python;R;Machine Learning;SQL,7,Develop and implement machine learning models for product recommendations.
195,Mobile App Developer,Salesforce,"Mountain View, CA",Swift;Kotlin;Flutter;Firebase,9,Develop and deploy mobile applications across platforms.
196,Frontend Developer,IBM,"Redmond, WA",React;JavaScript;TypeScript;CSS,2,Build and maintain user interfaces for web applications.
197,DevOps Engineer,Netflix,"San Francisco, CA",Kubernetes;Terraform;AWS;CI/CD,3,Automate infrastructure and deployment pipelines.
198,Machine Learning Engineer,Amazon,"Mountain View, CA",TensorFlow;PyTorch;Data Analysis;Deep Learning,2,Apply deep learning to real-world data problems.
199,Cloud Architect,Microsoft,"Seattle, WA",Azure;GCP;Networking;Security,1,Design cloud solutions and guide teams in cloud migration.
200,Backend Developer,Google,"New York, NY",Node.js;Express;MongoDB;Docker,6,Design and maintain backend APIs and services.
201,QA Engineer,Apple,"Austin, TX",Selenium;JUnit;TestNG;Postman,8,Test and ensure the quality of software applications.
202,Data Scientist,IBM,"Boston, MA",Python;R;Machine Learning;SQL,5,Develop and implement machine learning models for product recommendations.
203,QA Engineer,Salesforce,"Mountain View, CA",Selenium;JUnit;TestNG;Postman,10,Test and ensure the quality of software applications.
204,Data Scientist,Microsoft,"Mountain View, CA",Python;R;Machine Learning;SQL,9,Develop and implement machine learning models for product recommendations.
205,Mobile App Developer,Intel,"Chicago, IL",Swift;Kotlin;Flutter;Firebase,3,Develop and deploy mobile applications across platforms.
206,QA Engineer,IBM,"New York, NY",Selenium;JUnit;TestNG;Postman,8,Test and ensure the quality of software applications.
207,Senior Software Engineer,IBM,"Boston, MA",Python;Java;Cloud;Microservices,1,Lead the development of scalable cloud infrastructure and microservices architecture.
208,Cloud Architect,Adobe,"Chicago, IL",Azure;GCP;Networking;Security,8,Design cloud solutions and guide teams in cloud migration.
209,Backend Developer,IBM,"San Francisco, CA",Node.js;Express;MongoDB;Docker,6,Design and maintain backend APIs and services.
210,Senior Software Engineer,Adobe,"Austin, TX",Python;Java;Cloud;Microservices,8,Lead the development of scalable cloud infrastructure and microservices architecture.
211,Machine Learning Engineer,Apple,"Chicago, IL",TensorFlow;PyTorch;Data Analysis;Deep Learning,7,Apply deep learning to real-world data problems.
212,Backend Developer,Netflix,"Cupertino, CA",Node.js;Express;MongoDB;Docker,5,Design and maintain backend APIs and services.
213,Backend Developer,Amazon,"Boston, MA",Node.js;Express;MongoDB;Docker,1,Design and maintain backend APIs and services.
214,DevOps Engineer,Intel,"Redmond, WA",Kubernetes;Terraform;AWS;CI/CD,9,Automate infrastructure and deployment pipelines.
215,Full Stack Developer,Microsoft,"Menlo Park, CA",HTML;CSS;JavaScript;Angular,8,Build dynamic and responsive full-stack web applications.
216,QA Engineer,Facebook,"Austin, TX",Selenium;JUnit;TestNG;Postman,4,Test and ensure the quality of software applications.
217,Data Scientist,Apple,"San Francisco, CA",Python;R;Machine Learning;SQL,4,Develop and implement machine learning models for product recommendations.
218,Senior Software Engineer,IBM,"Mountain View, CA",Python;Java;Cloud;Microservices,3,Lead the development of scalable cloud infrastructure and microservices architecture.
219,Machine Learning Engineer,IBM,"Boston, MA",TensorFlow;PyTorch;Data Analysis;Deep Learning,2,Apply deep learning to real-world data problems.
220,Full Stack Developer,IBM,"New York, NY",HTML;CSS;JavaScript;Angular,6,Build dynamic and responsive full-stack web applications.
221,Data Scientist,Intel,"Seattle, WA",Python;R;Machine Learning;SQL,10,Develop and implement machine learning models for product recommendations.
